url,status,perguntas_visiveis,perguntas_jsonld,faltando_no_jsonld,faltando_na_pagina,respostas_divergentes
"https://precisodeumtecnico.com/regioes/curitiba/taboao",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/sao-jose-dos-pinhais/aguas-belas",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/sao-jose-dos-pinhais/cidade-jardim",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/sao-jose-dos-pinhais/guatupe",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/sao-jose-dos-pinhais/rio-pequeno",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/pinhais/alto-atuba",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/pinhais/maria-antonieta",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/colombo/atuba",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/colombo/maracana",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/colombo/sao-gabriel",ok,5,5,"","",""
"https://precisodeumtecnico.com/regioes/araucaria/iguacu",ok,5,5,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/pinheiros/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/pinheiros/recuperacao-dados",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/moema/informatica",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/moema/recuperacao-dados",ok,22,22,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/tatuape/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/tatuape/recuperacao-dados",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/itaim-bibi/informatica",ok,19,19,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/sao-paulo/itaim-bibi/recuperacao-dados",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/copacabana/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/copacabana/recuperacao-dados",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/ipanema/informatica",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/ipanema/recuperacao-dados",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/botafogo/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/botafogo/recuperacao-dados",ok,17,17,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/barra-da-tijuca/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/rio-de-janeiro/barra-da-tijuca/recuperacao-dados",ok,22,22,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/asa-sul/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/asa-sul/recuperacao-dados",ok,19,19,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/asa-norte/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/asa-norte/recuperacao-dados",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/lago-sul/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/lago-sul/recuperacao-dados",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/lago-norte/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/brasilia/lago-norte/recuperacao-dados",ok,17,17,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/pituba/informatica",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/pituba/recuperacao-dados",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/barra/informatica",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/barra/recuperacao-dados",ok,22,22,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/itaigara/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/itaigara/recuperacao-dados",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/rio-vermelho/informatica",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/salvador/rio-vermelho/recuperacao-dados",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/cambui/informatica",ok,17,17,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/cambui/recuperacao-dados",ok,9,9,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/taquaral/informatica",ok,22,22,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/taquaral/recuperacao-dados",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/barao-geraldo/informatica",ok,10,10,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/barao-geraldo/recuperacao-dados",ok,13,13,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/centro/informatica",ok,22,22,"","",""
"https://precisodeumtecnico.com/servico-em-nacional/campinas/centro/recuperacao-dados",ok,10,10,"","",""
